Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202307,2004100000,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",KGM,"5,712,063","2,932,753","18,841","11,707","5,730,904","2,944,460",Provisional
202307,2004900100,"Vegetable preparations; sweetcorn, vine leaves, yams (sweet potatoes), hop shoots, palm hearts and mixtures of these, prepared or preserved otherwise than by vinegar or acetic acid, frozen",KGM,"191,916","45,786",0,0,"191,916","45,786",Provisional
202307,2004900919,"Vegetable preparations; vegetables and mixtures of vegetables n.e.c. in heading no. 2004, prepared or preserved otherwise than by vinegar or acetic acid, frozen",KGM,"218,601","54,886","20,457","4,060","239,058","58,946",Provisional
202307,2005200001,"Vegetable preparations; potatoes, in airtight cans, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,"7,339",296,0,0,"7,339",296,Provisional
202307,2005200009,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen, not in airtight cans",KGM,"780,894","83,202","2,934",362,"783,828","83,564",Provisional
202307,2005400000,"Vegetable preparations; peas (pisum sativum), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,"60,655","3,727",0,0,"60,655","3,727",Provisional
202307,2005510001,"Vegetable preparations; beans (vigna spp., phaseolus spp.), shelled, baked, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,"1,523,760","577,966",544,164,"1,524,304","578,130",Provisional
202307,2005510009,"Vegetable preparations; beans (vigna spp., phaseolus spp.), shelled, prepared or preserved otherwise than by vinegar or acetic acid, not baked or frozen",KGM,"112,356","33,586","1,134",434,"113,490","34,020",Provisional
202307,2005590000,"Vegetable preparations; beans (vigna spp., phaseolus spp.), (not shelled), prepared or preserved other than by vinegar or acetic acid, not frozen",KGM,"15,964","4,448","1,784",290,"17,748","4,738",Provisional
202307,2005700000,"Vegetable preparations; olives, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,"104,781","4,194","2,588",316,"107,369","4,510",Provisional
202307,2005800000,"Vegetable preparations; sweetcorn (zea mays var. saccharata), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,"10,070","2,347",181,60,"10,251","2,408",Provisional
202307,2005910000,"Vegetable preparations; bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,630,135,260,13,890,148,Provisional
202307,2005990100,"Vegetable preparations; capers, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,20,1,0,0,20,1,Provisional
202307,2005990917,"Vegetable preparations; beetroot, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,"506,207","204,431",0,0,"506,207","204,431",Provisional
202307,2005990921,"Vegetable preparations; vegetables and mixtures of vegetables, n.e.c. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",KGM,"308,364","82,515","1,786",424,"310,150","82,939",Provisional
202307,2006001000,"Fruit-peel; preserved by sugar (drained, glace or crystallised)",KGM,"2,016",438,0,0,"2,016",438,Provisional
202307,2006002000,"Vegetables; asparagus, preserved by sugar (drained, glace or crystallised)",KGM,0,0,"1,301",123,"1,301",123,Provisional
202307,2006003001,"Vegetables; olives, preserved by sugar (drained, glace or crystallised)",KGM,"1,117",164,0,0,"1,117",164,Provisional
202307,2006004000,"Vegetables; sweetcorn (zea mays var., saccharata), preserved by sugar (drained, glace or crystallised)",KGM,0,0,557,0,557,0,Provisional
202307,2006005019,"Vegetables; beans (vigna spp., phaseolus spp.), (other than shelled), preserved by sugar (drained, glace or crystallised)",KGM,418,20,0,0,418,20,Provisional
202307,2006007001,"Vegetables; and mixtures of vegetables, (other than peas, beans, sweetcorn, olives, capers or asparagus), beetroot, preserved by sugar (drained, glace or crystallised)",KGM,133,95,0,0,133,95,Provisional
202307,2006007009,"Vegetables; and mixtures of vegetables, (other than peas, beans, sweetcorn, olives, capers, asparagus or beetroot), preserved by sugar (drained, glace or crystallised)",KGM,"7,475",409,0,0,"7,475",409,Provisional
202307,2006009000,"Vegetables; n.e.c. in heading no. 2006, preserved by sugar (drained, glace or crystallised)",KGM,"2,113",227,"1,286",0,"3,399",227,Provisional
202307,2007100000,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes; homogenised cooked preparations, whether or not containing added sugar or other sweetening matter",KGM,"817,585","109,477",0,0,"817,585","109,477",Provisional
202307,2007910000,"Jams, jellies, marmalades, purees and pastes; of citrus fruit, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter",KGM,"532,603","111,068",0,0,"532,603","111,068",Provisional
202307,2007990019,"Jams, fruit jellies, marmalades, purees and pastes; of fruit or nuts n.e.c. in heading no. 2007, cooked preparations, whether or not containing added sugar or other sweetening matter",KGM,"2,871,904","618,335","110,522","14,588","2,982,426","632,923",Provisional
202307,2008110001,Nuts; peanut butter,KGM,"1,344,588","137,486","1,128",510,"1,345,716","137,996",Provisional
202307,2008110021,"Nuts; ground-nuts, roasted, mixtures",KGM,"42,260","2,683",0,0,"42,260","2,683",Provisional
202307,2008110031,"Nuts; ground-nuts, roasted, other than mixtures",KGM,"37,856","1,623","6,283",1,"44,139","1,624",Provisional
202307,2008110039,"Nuts; ground-nuts, (not roasted), prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit",KGM,120,4,184,30,304,34,Provisional
202307,2008190100,"Nuts and other seeds; whether or not containing added sugar, other sweetening matter or spirit (excluding ground-nuts, except in mixtures), cashew nuts",KGM,"21,332",668,771,48,"22,103",716,Provisional
